volume,price,open,high,low,close,times,Prediction_Result
35285583,10660082266,305.0,305.0,300.0,301.0,15246,1
19016708,5774255431,302.5,305.0,302.0,305.0,8957,0
18422438,5583245970,303.0,304.0,301.5,304.0,6039,0
15734835,4776767840,304.5,305.0,302.0,303.5,6219,0
29038445,8891701115,305.5,307.5,304.5,307.0,8672,0
18741325,5796331075,308.5,311.0,307.0,311.0,8420,0
33096197,10365611120,312.5,315.0,311.0,315.0,11121,1
24538973,7681229345,314.0,314.0,312.0,313.5,9143,0
30163833,9329845096,309.5,311.0,307.0,311.0,11638,1
26492984,8188665024,310.0,310.5,308.0,309.0,9407,0
19855177,6133713443,310.5,310.5,307.0,307.0,8067,0
101916622,31332308518,310.0,310.5,307.0,307.0,10321,0
18527648,5732316828,307.5,311.5,307.5,311.0,7916,0
19718982,6111322584,310.0,312.0,308.5,309.5,9289,0
32423561,9922872967,309.0,309.5,305.0,305.0,15368,1
25516807,7844458306,307.0,308.0,306.5,307.5,8465,0
27686319,8472595177,305.0,307.0,305.0,307.0,9206,0
34911686,10652239802,305.0,306.0,304.0,306.0,9989,1
39349842,12240671524,309.0,312.0,309.0,312.0,13587,1
18402703,5771010050,315.0,316.0,311.0,313.0,8974,0
23556081,7433484496,314.0,316.5,314.0,316.0,10583,0
20847594,6540475540,315.0,315.5,312.5,313.5,8702,0
34329148,10866410212,314.0,319.0,313.0,319.0,11689,1
52801851,17446169339,325.0,334.5,324.0,331.5,22555,0
60843939,20697194061,340.0,343.0,338.0,339.0,23025,1
48340188,16272523200,336.5,338.5,336.0,336.0,16938,1
41428458,14153896438,335.0,345.0,335.0,345.0,16808,0
42486841,14594689501,341.5,345.0,341.5,344.5,15836,0
55667012,18774880620,340.0,342.0,335.0,335.0,28105,1
86280459,28483237354,332.0,333.0,328.5,329.0,28112,0
26911340,8923609754,329.5,334.0,329.5,334.0,12310,1
13783907,4591661991,334.0,334.5,332.0,332.0,7887,0
12262954,4075131136,332.0,334.5,331.0,333.0,7597,0
11427884,3803665702,333.0,334.0,331.5,333.0,6439,0
16677806,5624251712,335.0,338.0,335.0,338.0,8660,0
21591263,7270827164,338.0,339.0,334.0,334.5,10468,1
22950517,7614538961,331.0,333.5,331.0,331.0,12253,1
33282120,11224165450,332.5,339.0,332.5,339.0,17160,0
42023268,14295651580,344.0,345.0,335.5,339.5,20545,0
45677057,15210531318,333.0,334.5,332.0,332.0,22944,0
51746181,17053282011,332.5,333.0,326.5,329.5,22362,0
37913748,12484410088,325.0,333.0,325.0,329.5,18228,1
32397504,10890847940,335.0,337.5,333.5,337.5,16793,1
27880115,9432320316,340.5,341.0,336.0,339.5,13296,0
30663332,10455852739,342.0,342.0,339.0,341.5,13457,1
30368993,10488360978,345.5,346.0,344.5,346.0,16339,1
54575274,18590754206,345.0,345.0,337.5,340.0,20392,1
58217420,19431133895,330.0,336.5,330.0,334.5,24721,1
53908097,17977119406,334.0,335.5,332.0,333.0,23954,1
35551203,11865436839,334.0,335.5,333.0,333.0,15095,1
126820049,40734449874,326.0,326.0,316.5,316.5,55603,0
62912055,20205365710,323.0,323.5,319.0,320.0,22639,0
59711849,18782694826,315.0,316.5,312.0,315.0,26483,0
52208496,16882411296,319.0,326.0,318.0,325.0,22587,0
36601453,11985817083,329.0,329.5,324.5,327.5,16656,0
29659094,9803038836,329.5,332.5,329.0,332.5,14246,1
30055327,9869903253,330.0,330.5,326.0,328.0,13075,0
30814424,10024967927,321.5,328.0,321.0,327.5,14825,1
29062935,9629938182,330.5,332.5,330.0,331.5,12766,0
37612639,12593082711,333.5,336.0,333.0,335.0,17394,0
23217021,7805299096,338.0,338.0,335.0,335.0,12563,1
18326683,6155862838,337.0,337.0,334.5,335.0,7881,0
16145079,5354339726,331.5,333.0,330.5,331.5,9747,0
64662604,20957801150,324.5,326.5,322.0,322.0,36520,1
48856218,15881609046,322.5,327.0,322.0,326.5,16003,0
27061736,8832642641,328.0,329.0,325.0,325.5,11695,1
22974534,7463007621,325.5,326.5,323.0,325.0,9342,0
42946680,13754512932,319.5,321.5,319.5,320.0,18902,1
38674011,12425785349,320.0,323.5,317.5,322.0,17366,0
60768362,19341695595,317.0,320.5,316.5,318.5,24310,1
62401927,19756146876,319.0,320.0,315.0,316.0,20633,1
86372942,26864484400,308.0,317.0,308.0,311.0,35320,0
55169411,17534766696,318.5,320.0,316.0,317.5,20713,1
44745146,14304795666,322.0,322.0,317.0,320.5,16118,0
38223525,12392618100,325.0,326.0,323.0,323.0,15107,1
52807760,16733485610,320.0,320.5,315.0,315.0,24175,0
88633277,27236002054,307.5,310.0,305.5,305.5,44882,0
74869130,22727941511,301.5,309.0,301.0,307.0,30268,0
64923710,19913151529,309.0,310.5,302.0,302.0,27176,0
114173351,33544278206,299.0,299.0,287.0,294.0,56989,0
151268148,42448997546,275.0,294.0,272.5,290.0,71990,0
103933228,29343288916,285.0,291.0,275.5,276.5,51292,0
122409651,32936712540,265.0,276.5,265.0,268.0,57123,0
118620643,31555231792,269.5,272.5,260.0,260.0,53985,0
160811697,39559889553,252.0,253.0,235.5,248.0,77302,0
159179726,42110816042,258.5,270.0,256.0,270.0,69829,0
76963709,19851467203,257.0,262.5,252.0,255.0,41621,1
82377933,22207033614,268.0,274.0,266.0,267.5,41077,0
80514199,22368633590,276.5,280.0,274.0,277.0,40932,1
54189633,15108299935,279.5,280.0,275.5,280.0,27648,0
69320306,19324060590,284.0,286.0,273.0,273.0,36025,1
53403956,14205364184,263.5,269.0,262.5,267.5,27779,0
53901923,14712557472,273.0,274.0,269.5,274.0,20343,1
47572034,13022612818,276.5,276.5,271.5,271.5,19580,1
59712754,16324198154,273.0,275.5,270.0,275.5,19971,1
48887346,13817936851,283.5,284.0,280.5,283.0,24281,0
38698826,11016972354,285.0,285.5,283.0,285.0,19126,0
29276430,8346209654,287.5,288.0,282.5,283.0,15271,1
28206858,7894277586,280.0,282.0,279.0,279.5,15833,1
22196596,6202532380,278.5,281.5,278.5,278.5,12809,0
50196688,14268689661,281.0,285.5,280.0,285.0,22214,0
58561434,16819851630,287.0,288.5,286.0,287.5,25696,0
48257280,13813721932,283.0,288.5,283.0,286.5,19084,1
117447201,35719172728,303.5,308.5,300.5,306.5,60873,0
44586860,13605802989,308.0,309.0,302.5,304.0,21791,0
61949357,18417786171,300.5,301.5,293.5,295.0,39043,1
43568580,12746170556,294.5,295.0,290.5,294.0,25176,0
