X,volume,price,open,high,low,close,times,MinLow,MaxHigh,RSV,K,D,J,Prediction_Result
2103,1844881,120289783,64.5,65.6,64.5,65.0,1223,64.2,68.5,18.60465116,29.12511313,46.31855368,80.70543478,1
2104,5630805,350852642,63.7,64.3,60.8,61.8,3373,60.8,68.0,13.88888889,24.04637172,38.89449303,68.59073565,1
2105,4719232,284265457,61.0,61.1,59.4,60.0,3330,59.4,68.0,6.976744186,18.35649588,32.04849398,59.43249018,1
2106,2900460,176801360,60.1,61.6,60.1,60.7,1766,59.4,68.0,15.11627907,17.27642361,27.12447052,46.82056435,1
2107,1411020,84738305,60.6,60.9,59.7,59.9,1081,59.4,67.9,5.882352941,13.47840005,22.57578036,40.77054099,1
2108,2556006,151616451,60.2,60.6,58.5,58.9,1600,58.5,67.6,4.395604396,10.4508015,18.53412074,34.70075923,1
2109,1247232,74438856,59.5,60.1,59.1,59.5,822,58.5,67.6,10.98901099,10.63020466,15.89948205,26.43803682,1
2110,1757898,104457882,59.7,60.1,58.8,58.9,1227,58.5,65.7,5.555555556,8.93865496,13.57920635,22.86030914,1
2111,4423884,268764564,59.5,61.5,59.4,61.5,2588,58.5,65.6,42.25352113,20.04361035,15.73400769,7.114802357,1
2112,3838881,227789256,59.0,60.1,58.5,59.1,2409,58.5,64.3,10.34482759,16.81068276,16.09289938,14.65733261,1
2113,3087643,184129938,58.9,60.4,58.8,60.1,1825,58.5,61.6,51.61290323,28.41142292,20.19907389,3.774375838,1
2114,4960691,290043577,59.0,60.2,57.1,60.1,2402,57.1,61.6,66.66666667,41.16317083,27.1871062,-0.765023053,1
2115,4976876,297033651,59.1,61.7,57.6,61.0,2660,57.1,61.7,84.7826087,55.70298345,36.69239862,-1.328771045,1
2116,3811149,229450189,60.5,61.3,59.0,61.0,2085,57.1,61.7,84.7826087,65.39619187,46.2603297,7.988605374,0
2117,4389937,270804376,59.7,62.7,59.7,62.5,2599,57.1,62.7,96.42857143,75.74031839,56.0869926,16.78034102,1
2118,3226685,200234370,62.5,62.7,61.1,62.0,1893,57.1,62.7,87.5,79.66021226,63.94473249,32.51377294,1
2119,2958520,183914395,61.5,63.2,60.8,63.0,1825,57.1,63.2,96.72131148,85.34724533,71.07890343,42.54221964,1
2120,2775296,173967923,62.1,63.2,62.0,63.0,1532,57.1,63.2,96.72131148,89.13860071,77.09880253,53.01920615,0
2121,2348908,149319538,63.1,64.5,62.6,63.0,1571,57.1,64.5,79.72972973,86.00231038,80.06663848,68.19529467,0
2122,3492138,223027015,63.1,64.5,63.0,64.2,1634,57.1,64.5,95.94594595,89.31685557,83.15004418,70.81642139,0
2123,3348139,214668161,63.6,65.0,63.3,64.0,2111,57.6,65.0,86.48648649,88.37339921,84.89116252,77.92668914,0
2124,1690699,108278082,64.1,64.5,63.5,63.8,914,59.0,65.0,80.0,85.58226614,85.12153039,84.2000589,1
2125,2757326,173220812,64.0,64.3,62.0,62.0,1848,59.7,65.0,43.39622642,71.5202529,80.58777123,98.72280789,0
2126,4350267,276906805,61.8,64.5,61.7,64.4,2720,60.8,65.0,85.71428571,76.25159717,79.14237988,84.92394529,1
2127,3790426,244654356,63.7,65.8,63.5,65.1,2497,60.8,65.8,86.0,79.50106478,79.26194151,78.78369497,1
2128,12578002,872231792,64.8,71.6,64.5,71.6,7244,61.7,71.6,100.0,86.33404319,81.61930874,72.18983983,1
2129,27742423,2011782788,73.7,75.2,69.5,69.5,13141,61.7,75.2,57.77777778,76.81528805,80.01796851,86.42332942,0
2130,18251560,1276488389,70.7,72.0,67.5,67.5,8344,61.7,75.2,42.96296296,65.53117969,75.1890389,94.50475733,1
2131,11102574,768580106,68.0,70.4,67.6,68.5,6553,61.7,75.2,50.37037037,60.47757658,70.28521813,89.90050122,1
2132,4768861,324384766,67.6,68.9,67.5,67.8,2943,61.7,75.2,45.18518519,55.38011278,65.31684968,85.19032347,1
2133,14020700,971285471,67.8,70.2,67.7,69.9,6879,61.7,75.2,60.74074074,57.16698877,62.60022938,73.46671059,0
2134,13701424,937779380,69.1,70.8,65.1,70.5,7309,61.7,75.2,65.18518519,59.83972091,61.68005989,65.36073784,0
2135,5800481,395591897,68.3,70.0,66.6,68.4,3887,63.5,75.2,41.88034188,53.85326123,59.071127,69.50685854,1
2136,8527964,565949862,69.0,69.3,63.6,64.7,4684,63.6,75.2,9.482758621,39.06309369,52.40178257,79.07916031,0
2137,3061823,199170872,64.7,66.1,64.2,64.3,1885,63.6,75.2,6.034482759,28.05355672,44.28570728,76.75000842,1
2138,2670560,175287576,65.2,66.5,64.3,65.6,1875,63.6,72.0,23.80952381,26.63887908,38.40343122,61.93253549,1
2139,3342769,221382975,64.7,67.9,64.0,67.9,2415,63.6,70.8,59.72222222,37.66666013,38.15784085,39.1402023,1
2140,2927020,196635440,66.1,68.2,66.1,67.5,1867,63.6,70.8,54.16666667,43.16666231,39.827448,33.1490194,1
2141,1823834,122805089,68.0,68.2,66.8,66.8,1175,63.6,70.8,44.44444444,43.59258969,41.08249523,36.06230632,1
2142,8106039,504973835,67.0,67.6,60.2,60.2,5049,60.2,70.8,0.0,29.06172646,37.07557231,53.10326401,0
2143,10475896,608613979,59.8,59.8,56.2,58.5,6363,56.2,70.0,16.66666667,24.93003986,33.02706149,49.22110475,1
2144,2590010,149273480,57.2,58.8,56.5,57.9,1833,56.2,69.3,12.97709924,20.94572632,28.99994977,45.10839666,1
2145,2176694,125056802,57.5,58.6,56.8,56.9,1532,56.2,68.2,5.833333333,15.90826199,24.63605384,42.09163754,1
2146,3914783,218083585,56.5,56.9,55.1,55.2,2484,55.1,68.2,0.763358779,10.85996092,20.04402287,38.41214676,1
2147,2930809,161200848,55.4,56.1,54.2,54.5,1818,54.2,68.2,2.142857143,7.954259661,16.0141018,32.13378607,0
2148,1705540,93889110,54.8,55.4,54.7,55.0,1119,54.2,68.2,5.714285714,7.207601679,13.07860176,24.82060192,1
2149,2955958,159314849,55.0,55.4,53.0,53.2,1956,53.0,68.2,1.315789474,5.243664277,10.46695593,20.91353924,1
2150,4732117,243689625,53.5,53.9,50.1,50.5,2825,50.1,67.6,2.285714286,4.257680947,8.397197603,16.67623092,1
2151,5296116,262593756,50.9,51.0,48.65,48.65,3408,48.65,59.8,0.0,2.838453964,6.544283057,13.95594124,1
2152,7202902,334695388,48.75,49.5,44.65,45.0,4455,44.65,58.8,2.473498233,2.716802054,5.268456056,10.37176406,1
2153,4845456,221816829,46.2,47.1,45.05,45.7,3487,44.65,58.6,7.52688172,4.320161943,4.952358018,6.216750169,1
2154,4516057,199139077,46.1,46.3,42.85,43.0,2908,42.85,56.9,1.067615658,3.235979848,4.380231962,6.668736189,1
2155,4082768,158905320,38.8,39.7,38.7,38.7,2269,38.7,56.1,0.0,2.157319899,3.639261274,6.603144024,1
2156,5014074,195434189,37.3,39.9,37.3,39.6,3204,37.3,55.4,12.70718232,5.673940706,4.317487751,1.604581842,1
2157,2544642,103072636,39.35,41.4,38.7,40.65,1701,37.3,55.4,18.50828729,9.952056235,6.195677246,-1.317080732,1
