,volume,price,open,high,low,close,times,MinLow,MaxHigh,RSV,K,D,J,Prediction_Result
1887,8783752,549785852,63.3,63.5,62.1,62.3,4010,62.1,65.8,5.405405405,23.58380807,41.45362101,77.19324688,0
1200,706902,44096079,63.0,63.4,61.2,63.0,388,61.2,67.0,31.03448276,37.53553895,46.3710143,64.04196501,0
2216,17431836,878799030,50.1,51.6,49.5,51.6,8421,49.5,57.6,25.92592593,34.77090228,47.65643985,73.42751498,1
2819,19840150,1594126797,80.8,81.5,79.6,80.4,10430,73.0,82.3,79.56989247,70.18631269,64.61213912,53.46379197,0
1133,2708482,21606332,8.19,8.19,7.9,8.0,395,7.69,8.4,43.66197183,43.53174835,45.62763881,49.81941973,0
2346,28900151,2057194088,71.7,72.0,70.3,71.8,12831,65.8,72.9,84.50704225,85.4065968,82.05054231,75.33843332,0
2289,11720593,776441828,65.7,66.8,65.6,66.7,5030,63.4,67.0,91.66666667,75.86347313,73.6446812,69.20709734,1
1438,2803837,110761856,39.8,40.25,39.15,39.15,1460,38.8,42.0,10.9375,36.28808288,46.54711763,67.06518714,0
1957,5781073,454867423,78.7,79.2,78.4,78.7,3254,73.2,79.2,91.66666667,83.49335085,69.11630379,40.36220967,0
1975,10038682,810755080,81.1,81.5,79.4,81.4,5700,76.2,85.3,57.14285714,59.24276215,64.11224264,73.85120362,0
1171,564875,33097118,57.5,60.0,57.5,58.7,406,57.5,64.0,18.46153846,39.64466394,41.69639724,45.79986385,0
2252,14312939,859000379,59.3,60.8,59.0,60.5,7168,59.0,67.1,18.51851852,25.76378088,38.83674314,64.98266768,1
1746,11853652,551261559,46.6,46.7,46.15,46.65,5009,45.2,48.3,46.77419355,35.35669819,30.34422126,20.3192674,0
2011,34326031,3097904649,90.0,92.5,89.0,89.4,15430,77.3,92.5,79.60526316,81.8837002,77.18897322,67.79951926,0
755,2545655,7502635,2.92,2.97,2.92,2.92,260,2.48,2.97,89.79591837,90.64359539,82.4644586,66.10618503,1
1179,693037,37605911,53.5,55.4,53.3,55.4,472,46.9,60.0,64.88549618,37.33496606,26.39777821,4.523402497,0
1638,2403149,89097398,37.3,37.35,36.9,37.0,1227,36.5,38.05,32.25806452,53.27207324,52.31616853,50.4043591,0
1539,4014127,153619147,38.45,38.5,37.9,37.9,2162,37.9,40.6,0.0,11.60993318,18.09004104,31.05025678,1
191,5437276,105892262,19.65,19.65,19.25,19.5,1400,19.2,21.4,13.63636364,18.85017467,26.91832182,43.05461613,0
64,9536980,288133745,30.8,30.9,29.75,29.85,2788,29.75,31.8,4.87804878,24.27290575,32.87506361,50.07937935,0
1903,31786406,2738929676,84.8,88.2,83.9,85.8,12521,76.6,88.6,76.66666667,77.2070937,78.06197043,79.77172387,0
156,7259407,160290304,22.1,22.3,21.95,22.05,1691,21.95,24.2,4.444444444,27.57459668,42.9029079,73.55953033,0
1934,12316148,1004779998,82.9,83.4,82.3,82.5,5056,81.3,90.1,13.63636364,22.04869264,32.40351745,53.11316705,0
2855,9348558,621329862,67.5,68.1,65.4,66.0,5440,63.3,69.0,47.36842105,38.32224741,31.33853865,17.37112114,1
2428,9709519,683863529,69.6,71.4,69.6,70.1,4949,66.8,72.3,60.0,55.0719921,51.03842017,42.9712763,0
290,5713850,90676100,15.75,16.05,15.7,16.05,1376,15.25,16.5,64.0,33.14795008,21.26448716,-2.502438691,0
83,6712724,177233140,25.5,27.05,25.5,27.05,2387,24.0,28.85,62.88659794,33.07729488,25.55895099,10.52226321,0
1356,4127174,157602537,38.5,38.9,37.6,37.75,2098,36.5,52.6,7.763975155,6.648199419,6.305147646,5.6190441,0
799,3748999,12974660,3.49,3.49,3.44,3.45,214,3.06,3.73,58.20895522,43.57802168,42.59223358,40.62065739,0
513,3152209,8041939,2.43,2.57,2.43,2.57,260,2.09,2.57,100.0,72.5027989,50.64217371,6.920923335,1
474,5671384,14402110,2.53,2.55,2.53,2.53,330,2.3,3.03,31.50684932,49.96365774,46.6359712,39.98059812,0
791,4696512,16251455,3.55,3.55,3.43,3.45,352,2.84,4.0,52.5862069,75.03236941,82.28689225,96.79593793,0
2681,52113257,4574782207,86.4,89.5,86.0,87.6,25259,68.4,89.5,90.99526066,89.21042116,86.72796787,81.76306129,0
776,3438958,9975928,2.85,2.92,2.85,2.91,233,2.65,2.92,96.2962963,79.73450456,66.16051581,39.0125383,1
650,319475,587180,1.88,1.88,1.81,1.86,103,1.8,1.98,33.33333333,42.28062043,38.87024325,32.04948888,0
