,volume,price,close,times,K,D,J,rsi10,rsi5,macd,WR5,WR10,Prediction_Result
1956,8089312,509567556,62.9,3753,29.55479889,34.3600437,43.97053332,41.09822677458117,34.44814172385246,0.0824235112337848,-100.0,-100.0,1
2230,6766267,480395057,71.1,3181,73.76820035,63.24740093,42.20580207,55.88503169508068,60.22548191830565,-0.5840000417927289,-52.63157894736866,-21.739130434782638,1
107,12983865,437377295,33.6,4006,66.58527891,58.53831439,42.44438537,54.829590993254094,63.10193861718832,-0.4945183711734471,0.0,0.0,0
1844,9120968,557176403,61.2,4718,84.96792764,67.69806714,33.15834615,69.64428679706495,79.8137958738321,0.5375803793623047,0.0,0.0,0
71,5195396,188537818,36.65,2342,53.83426934,58.84224724,68.85820305,50.280924195140685,46.29878575836744,0.354053436127009,-66.66666666666681,-70.27027027027046,0
564,9714228,400242336,41.25,2897,51.17434589,34.82098161,2.114253054,46.664092162074034,54.31863348664206,-0.6332575443726887,0.0,0.0,0
231,13177110,558924698,42.35,3876,69.17814602,66.1350189,60.04876466,62.078086109349975,65.03825226598093,0.311264925748457,-13.333333333333522,-6.896551724138016,0
221,9049577,371490662,41.0,2156,23.98319917,28.88285075,38.68215389,50.76439559967027,47.630292417111605,0.3515012282686048,-16.666666666666863,-73.68421052631578,0
1333,2885942,156066550,53.8,1632,57.48770484,68.26380713,89.81601171,61.04198714332247,56.374987594745896,0.6006040922567607,-100.0,-60.00000000000014,1
374,32132645,1435908018,44.95,9036,90.04297711,87.36967806,82.02307998,77.64385108319874,85.69309424429899,0.2542604127705059,0.0,0.0,0
1597,7422190,476986260,64.3,3846,72.05274448,69.35584551,63.96204759,59.97602972090343,58.12092608607175,1.2303874429934405,-66.6666666666672,-21.87500000000007,0
589,11566536,530924403,46.05,3368,37.29670796,46.08354155,63.65720873,56.83282238753935,53.59475526022107,1.02448641473074,0.0,-68.08510638297875,0
989,2664155,142399229,53.4,943,73.69091027,64.75773583,46.89138693,56.54103677317903,62.85247007913883,-0.2256757150739515,-7.1428571428572525,-6.666666666666761,0
1445,5608216,312298261,55.5,2795,34.10643142,27.89009792,15.45743093,43.92648778851805,45.15960749279024,-0.275932604243269,-41.17647058823539,-58.3333333333333,1
565,11631351,486945629,41.95,3933,65.82354767,45.1551703,3.818415556,54.09071264760785,65.63947813757245,-0.6098814135020127,0.0,0.0,0
1022,11472909,571532550,50.0,5391,77.3736335,54.83536787,9.758836615,51.906245180043165,64.7216851673535,-1.0018504542076936,0.0,0.0,0
1737,8620672,468788140,54.4,4283,76.41272675,71.70157385,62.27926805,58.34005591487157,67.73867525872173,-0.4459440743761749,0.0,0.0,1
1657,15142747,853987059,56.0,5604,15.23650411,20.14343838,29.95730691,22.4631412195182,14.039995386803437,-1.3755535747612484,-100.0,-100.0,0
978,7557803,401859066,53.5,2736,80.91304344,70.7250971,50.34920442,56.868375112652295,69.01121414706523,-0.6519959578489201,0.0,0.0,0
2609,7488211,516171107,69.0,4237,12.68231869,16.43607388,23.94358427,30.880611575668617,25.58227076110619,-0.4969541249126192,-100.0,-100.0,1
1766,10919380,613703470,56.3,4098,67.91329951,59.68341967,43.22365999,65.29715978310752,71.73280783376825,0.2844989226621834,-10.000000000000142,-10.000000000000142,1
333,9407508,396691778,42.0,3422,63.8813629,56.28332677,41.0872545,61.99298391117526,64.66467655591781,0.4556814744147834,-9.677419354838635,-8.823529411764644,1
