date,real_close,predict_close,predict_result
109/06/17,43.1,42.89001,1.0
109/06/18,43.8,43.20706,1.0
109/06/19,43.1,43.774002,0.0
109/06/22,43.05,43.459225,0.0
109/06/23,43.1,43.17907,0.0
109/06/24,43.05,43.07174,0.0
109/06/29,42.6,43.032566,0.0
109/06/30,42.65,42.261093,0.0
109/07/01,42.95,42.12033,1.0
109/07/02,43.6,42.543854,1.0
109/07/03,43.45,43.48179,1.0
109/07/06,43.6,43.76143,1.0
109/07/07,43.8,43.87664,0.0
109/07/08,44.1,43.860313,1.0
109/07/09,44.05,44.189983,0.0
109/07/10,43.7,44.061638,0.0
109/07/13,44.95,43.707375,1.0
109/07/14,45.15,44.858616,1.0
109/07/15,47.0,45.248573,1.0
109/07/16,47.1,46.22916,1.0
109/07/17,46.2,46.59281,0.0
109/07/20,47.45,45.887688,1.0
109/07/21,46.9,46.533333,0.0
109/07/22,46.15,46.401577,0.0
109/07/23,46.45,45.993187,0.0
109/07/24,45.9,45.96897,0.0
109/07/27,45.6,45.41822,0.0
109/07/28,45.1,44.898575,0.0
109/07/29,45.3,44.72707,1.0
109/07/30,46.25,44.83454,1.0
109/07/31,46.1,45.594475,1.0
109/08/03,46.35,45.672676,1.0
109/08/04,46.25,45.96418,1.0
109/08/05,46.0,46.181404,0.0
109/08/06,45.85,45.87963,0.0
109/08/07,45.65,45.68126,0.0
109/08/10,47.0,45.492714,1.0
109/08/11,46.25,46.80795,0.0
109/08/12,46.15,46.0965,0.0
109/08/13,46.85,45.718437,1.0
109/08/14,47.15,46.687843,1.0
109/08/17,48.9,47.16345,1.0
109/08/18,48.95,47.870438,1.0
109/08/19,49.6,48.307785,1.0
109/08/20,47.9,48.9096,0.0
109/08/21,48.85,47.97045,1.0
109/08/24,48.75,48.411774,0.0
109/08/25,48.9,48.26565,0.0
109/08/26,48.9,48.234745,1.0
109/08/27,48.95,48.52156,1.0
109/08/28,46.45,48.61472,0.0
109/08/31,45.25,45.6876,0.0
109/09/01,44.45,45.095043,0.0
109/09/02,44.5,44.176895,0.0
109/09/03,43.5,43.876427,0.0
109/09/04,43.6,43.5941,0.0
109/09/07,43.5,43.172718,0.0
109/09/08,44.2,42.918457,1.0
109/09/09,43.55,43.04642,0.0
109/09/10,43.7,43.01476,0.0
109/09/11,43.0,42.994328,0.0
109/09/14,43.8,42.645847,1.0
109/09/15,43.6,43.072624,1.0
109/09/16,43.55,43.19078,1.0
109/09/17,43.9,43.273922,1.0
109/09/18,43.8,43.653755,1.0
109/09/21,43.9,43.672485,1.0
109/09/22,43.5,43.90072,0.0
109/09/23,42.85,43.37048,0.0
109/09/24,41.5,42.558163,0.0
109/09/25,42.1,41.979725,1.0
109/09/28,42.25,41.994537,1.0
109/09/29,42.1,42.090828,0.0
109/09/30,42.25,42.001663,0.0
109/10/05,42.95,41.993767,1.0
109/10/06,44.1,42.50101,1.0
109/10/07,44.1,43.642433,1.0
109/10/08,44.55,44.1231,1.0
109/10/12,44.9,44.288982,1.0
109/10/13,44.6,44.55409,0.0
109/10/14,44.9,44.415855,1.0
109/10/15,44.75,44.557037,0.0
109/10/16,44.75,44.507263,1.0
109/10/19,45.25,44.55753,1.0
109/10/20,45.25,45.115982,1.0
109/10/21,45.5,45.361614,1.0
109/10/22,45.25,45.666008,0.0
109/10/23,45.3,45.34769,1.0
109/10/26,45.6,45.466957,1.0
109/10/27,45.45,45.66063,0.0
109/10/28,45.7,45.511726,1.0
109/10/29,45.45,46.006447,0.0
109/10/30,44.95,45.655457,0.0
109/11/02,44.85,44.88384,0.0
109/11/03,44.9,44.66408,1.0
109/11/04,44.9,44.76808,1.0
