,X,data,volume,price,open,high,low,close,diff,times,result,MinLow,MaxHigh,RSV,K,D,J
100,100,1999/6/2,1144579,29469293,25.8,26.0,25.6,26.065000000000005,-0.13500000000000512,500,0,24.8,26.75,48.71794872,37.84694678,30.42469068,15.58017848
101,101,1999/6/3,1427109,37341238,26.2,26.3,26.05,25.93,-0.030000000000001137,480,0,24.8,26.75,69.23076923,48.30822093,36.38586743,12.54116043
102,102,1999/6/4,908012,23755318,26.3,26.3,26.0,25.9,-0.06999999999999673,306,0,24.8,26.6,75.0,57.20548062,43.32573849,15.56625424
103,103,1999/6/7,1181623,30136048,25.5,25.8,25.0,25.830000000000002,0.22499999999999787,456,1,24.85,26.6,54.28571429,56.23222518,47.62790072,30.41925181
104,104,1999/6/8,5816875,156901295,25.65,27.6,25.5,26.055,0.3149999999999977,2215,1,25.0,27.6,100.0,70.82148345,55.35909496,24.43431799
105,105,1999/6/9,14156890,405869646,28.05,29.5,27.65,26.369999999999997,0.3200000000000003,4880,1,25.0,29.5,73.33333333,71.65876674,60.79231889,39.05942318
106,106,1999/6/10,6361698,183608265,28.8,29.2,28.5,26.689999999999998,0.24500000000000455,2505,1,25.0,29.5,87.77777778,77.03177042,66.2054694,44.55286736
107,107,1999/6/11,3499000,100711893,29.2,29.35,28.4,26.935000000000002,0.25,1424,1,25.0,29.5,78.88888889,77.65080991,70.0205829,54.76012889
108,108,1999/6/14,2480027,71791757,29.0,29.3,28.7,27.185000000000002,0.28999999999999915,989,1,25.0,29.5,82.22222222,79.17461401,73.07192661,60.86655179
109,109,1999/6/15,2644714,76397453,28.8,29.1,28.6,27.475,0.29999999999999716,1135,1,25.0,29.5,84.44444444,80.93122416,75.69169246,65.21262906
110,110,1999/6/17,2737969,79267251,29.15,29.2,28.65,27.775,0.245000000000001,925,1,25.0,29.5,83.33333333,81.73192722,77.70510404,69.6514577
111,111,1999/6/18,2252011,64761409,28.9,28.95,28.5,28.02,0.379999999999999,853,1,25.0,29.5,80.0,81.15461814,78.85494208,74.25558994
112,112,1999/6/21,6567444,195930522,29.2,30.2,29.2,28.4,0.4099999999999966,2104,1,25.5,30.2,94.68085106,85.66336245,81.12441554,72.0465217
113,113,1999/6/22,2180938,65069085,30.0,30.0,29.6,28.809999999999995,0.2100000000000044,894,1,27.65,30.2,88.23529412,86.52067301,82.92316803,75.72815806
114,114,1999/6/23,4039791,120437986,29.7,30.2,29.5,29.02,0.15500000000000114,1343,1,28.4,30.2,72.22222222,81.75452275,82.5336196,84.09181331
115,115,1999/6/24,4150173,124144302,29.7,30.2,29.7,29.175,-0.02500000000000213,1385,0,28.4,30.2,80.55555556,81.35486702,82.14070207,83.71237218
116,116,1999/6/25,2933029,85017489,29.5,29.6,28.6,29.15,0.019999999999999574,1217,1,28.5,30.2,11.76470588,58.15814664,74.14651693,106.1232575
117,117,1999/6/28,3294369,95333608,28.7,29.35,28.7,29.169999999999998,-0.019999999999999574,1081,0,28.5,30.2,14.70588235,43.67405854,63.9890308,104.6189753
118,118,1999/6/29,3712214,106848792,29.2,29.35,28.35,29.15,-0.07499999999999929,1460,0,28.35,30.2,8.108108108,31.81874173,53.26560111,96.15931987
119,119,1999/6/30,2562007,71186496,27.5,28.1,27.5,29.075,-0.0899999999999963,959,0,27.5,30.2,20.37037037,28.00261794,44.84460672,78.52858427
