data,volume,price,open,high,low,close,diff,times,result,Prediction_Result
108/02/26,24586789,5864298571,239.0,240.0,236.5,239.5,+1.50,7994,1,0.8063872255489022
108/02/27,37947889,9052540803,238.5,239.5,237.0,239.0,-0.50,9931,0,0.6347305389221557
108/03/04,45164513,10691130829,239.5,239.5,234.5,235.5,-3.50,13323,0,0.5848303393213573
108/03/05,23708407,5533050748,234.0,234.5,232.5,233.0,-2.50,8706,0,0.8642714570858283
108/03/06,20811226,4872352124,235.0,235.5,233.5,234.0,+1.00,7090,1,0.7844311377245509
108/03/07,17226192,4029782428,235.0,235.0,233.0,234.0,0.00,5768,0,0.3812375249500998
108/03/08,22535659,5183171608,231.0,231.5,229.0,230.0,-4.00,8931,0,0.7285429141716567
108/03/11,34282793,7835079913,228.0,230.5,227.5,230.5,+0.50,7451,1,0.4291417165668663
108/03/12,23839972,5601351324,233.0,237.0,232.5,235.5,+5.00,9253,1,0.6327345309381237
108/03/13,22493195,5308051755,234.0,237.0,234.0,237.0,+1.50,6269,1,0.6027944111776448
108/03/14,17281356,4077045380,239.0,239.0,234.0,234.5,-2.50,6564,0,0.4411177644710579
108/03/15,34542729,8231572752,237.0,239.5,235.5,239.0,+4.50,8872,1,0.48902195608782434
108/03/18,27040532,6493129050,239.5,241.0,239.0,241.0,+2.00,10690,1,0.6506986027944112
108/03/19,14620009,3496720720,239.0,240.5,238.0,240.5,-0.50,7105,0,0.5049900199600799
108/03/20,23055971,5563557011,242.0,242.0,239.5,242.0,+1.50,6757,1,0.7285429141716567
108/03/21,27514502,6710510004,242.5,245.5,241.0,245.5,+3.50,11071,1,0.6007984031936128
108/03/22,22996467,5680726299,248.0,248.5,244.5,248.5,+3.00,10485,1,0.40718562874251496
108/03/25,19273254,4662705968,240.5,243.5,240.5,241.5,-7.00,8468,0,0.6207584830339321
108/03/26,21053170,5109273236,243.0,244.0,241.0,244.0,+2.50,6630,1,0.5948103792415169
108/03/27,23622089,5703467700,242.0,242.5,240.5,241.5,-2.50,7603,0,0.6686626746506986
108/03/28,13998054,3379510718,240.5,242.5,240.0,242.0,+0.50,3948,1,0.2435129740518962
108/03/29,31024810,7568601014,243.0,245.5,240.5,245.5,+3.50,6712,1,0.562874251497006
108/04/01,35330656,8758161220,251.0,251.0,245.0,245.5,0.00,13292,0,0.7345309381237525
108/04/02,25189053,6226523038,249.5,249.5,246.0,246.0,+0.50,9171,1,0.36726546906187624
108/04/03,28581323,7075597562,249.0,249.0,246.5,246.5,+0.50,8067,1,0.42115768463073855
108/04/08,46426821,11682512762,251.0,253.0,250.5,253.0,+6.50,16430,1,0.6367265469061876
108/04/09,22745674,5760337782,253.0,254.0,252.0,254.0,+1.00,8323,1,0.39520958083832336
108/04/10,33174934,8403528302,253.0,254.5,252.0,254.0,0.00,9992,0,0.48902195608782434
108/04/11,25146840,6347861680,253.0,254.0,251.5,252.0,-2.00,8284,0,0.34930139720558884
108/04/12,13888148,3496444666,251.5,253.0,251.0,252.0,0.00,4931,0,0.18962075848303392
108/04/15,17257002,4403988510,255.0,256.0,254.0,255.5,+3.50,6739,1,0.4630738522954092
108/04/16,20231648,5185697928,257.0,257.0,255.5,257.0,+1.50,7676,1,0.2894211576846307
108/04/17,39037191,10202504410,260.0,263.0,259.5,261.5,+4.50,13486,1,0.5129740518962076
108/04/18,48525490,12836006732,264.0,266.0,263.5,264.5,+3.00,12208,1,0.4590818363273453
108/04/19,47698699,12712409558,269.0,269.5,263.5,264.5,0.00,14431,0,0.5029940119760479
108/04/22,24967393,6635995145,266.5,267.5,265.0,266.0,+1.50,8527,1,0.37325349301397204
108/04/23,26251847,7017363629,266.5,268.0,266.0,268.0,+2.00,9394,1,0.43912175648702595
108/04/24,37386755,10044241090,270.0,270.0,267.5,269.0,+1.00,9687,1,0.5109780439121756
